"P6040";"P6020";"P6175";"P1158S1";"DIA_REFERENCIA_2";"P1161S1A1";"P1161S1A2"
"309";21;"Femenino";"Público";"Universitario";"Jueves";1;0
"310";20;"Femenino";"Público";"Universitario";"Jueves";1;20
"311";13;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"312";9;"Masculino";"Público";"Primaria";"Viernes";2;0
"313";9;"Masculino";"Público";"Primaria";"Jueves";1;0
"314";9;"Masculino";"Público";"Primaria";"Jueves";1;0
"315";6;"Masculino";"Público";"Primaria";"Jueves";2;30
"316";14;"Masculino";"Público";"Secundaria o Media";"Festivo";2;0
"317";21;"Masculino";"Público";"Tecnológico";"Jueves";2;0
"318";14;"Femenino";"Público";"Secundaria o Media";"Jueves";1;0
"319";12;"Femenino";"Público";"Primaria";"Jueves";2;0
"320";10;"Femenino";"Público";"Primaria";"Jueves";0;30
"321";29;"Femenino";"Privado";"Universitario";"Lunes";1;0
"322";11;"Femenino";"Público";"Primaria";"Sábado";0;30
"323";10;"Masculino";"Público";"Primaria";"Sábado";1;0
"324";37;"Masculino";"Público";"Maestría";"Domingo";2;0
"325";6;"Masculino";"Público";"Primaria";"Domingo";1;0
"326";17;"Femenino";"Privado";"Universitario";"Festivo";3;0
"327";10;"Masculino";"Público";"Primaria";"Festivo";0;30
"328";8;"Masculino";"Público";"Primaria";"Festivo";1;0
"329";7;"Masculino";"Público";"Primaria";"Festivo";0;30
"330";17;"Masculino";"Público";"Secundaria o Media";"Lunes";0;30
"331";9;"Masculino";"Público";"Primaria";"Festivo";1;30
"332";14;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"333";6;"Masculino";"Público";"Preescolar";"Domingo";1;30
"334";6;"Masculino";"Público";"Primaria";"Martes";1;0
"335";12;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"336";7;"Femenino";"Privado";"Primaria";"Domingo";1;0
"337";24;"Femenino";"Privado";"Universitario";"Miércoles";1;15
"338";16;"Femenino";"Público";"Secundaria o Media";"Sábado";1;0
"339";26;"Femenino";"Público";"Universitario";"Domingo";2;0
"340";14;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"341";23;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"342";7;"Masculino";"Público";"Primaria";"Miércoles";1;0
"343";8;"Masculino";"Público";"Primaria";"Miércoles";1;0
"344";15;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"345";6;"Masculino";"Público";"Primaria";"Miércoles";0;30
"346";11;"Masculino";"Público";"Primaria";"Miércoles";4;0
"347";27;"Masculino";"Privado";"Universitario";"Viernes";8;30
"348";18;"Femenino";"Privado";"Técnico";"Lunes";2;0
"349";18;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"350";16;"Femenino";"Público";"Técnico";"Lunes";0;30
"351";5;"Masculino";"Público";"Preescolar";"Lunes";1;0
"352";13;"Femenino";"Privado";"Secundaria o Media";"Domingo";1;0
"353";6;"Masculino";"Privado";"Preescolar";"Domingo";0;30
"354";14;"Masculino";"Público";"Secundaria o Media";"Martes";1;0
"355";5;"Masculino";"Público";"Preescolar";"Martes";1;0
"356";10;"Femenino";"Público";"Primaria";"Domingo";1;0
"357";18;"Femenino";"Público";"Universitario";"Domingo";2;0
"358";15;"Femenino";"Público";"Secundaria o Media";"Domingo";1;0
"359";12;"Femenino";"Público";"Secundaria o Media";"Domingo";1;25
"360";5;"Femenino";"Público";"Preescolar";"Domingo";2;0
"361";14;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"362";12;"Femenino";"Público";"Secundaria o Media";"Lunes";1;35
"363";8;"Masculino";"Público";"Primaria";"Lunes";2;0
"364";7;"Masculino";"Privado";"Primaria";"Lunes";3;0
"365";6;"Masculino";"Privado";"Primaria";"Lunes";0;30
"366";15;"Femenino";"Público";"Secundaria o Media";"Viernes";2;0
"367";10;"Masculino";"Privado";"Primaria";"Viernes";1;0
"368";6;"Femenino";"Privado";"Primaria";"Viernes";1;30
"369";18;"Femenino";"Público";"Tecnológico";"Sábado";2;0
"370";16;"Masculino";"Privado";"Secundaria o Media";"Martes";3;0
"371";7;"Masculino";"Privado";"Primaria";"Viernes";4;0
"372";12;"Femenino";"Público";"Secundaria o Media";"Sábado";2;0
"373";6;"Masculino";"Privado";"Primaria";"Sábado";2;0
"374";16;"Masculino";"Público";"Secundaria o Media";"Viernes";1;0
"375";19;"Masculino";"Público";"Secundaria o Media";"Viernes";3;0
"376";14;"Femenino";"Público";"Secundaria o Media";"Viernes";2;0
"377";13;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"378";11;"Masculino";"Público";"Secundaria o Media";"Viernes";3;0
"379";6;"Femenino";"Público";"Primaria";"Viernes";3;0
"380";7;"Masculino";"Público";"Primaria";"Miércoles";1;0
"381";33;"Femenino";"Privado";"Técnico";"Domingo";8;0
"382";22;"Masculino";"Público";"Universitario";"Domingo";8;0
"383";17;"Femenino";"Público";"Secundaria o Media";"Lunes";3;0
"384";7;"Femenino";"Privado";"Primaria";"Viernes";0;30
"385";14;"Masculino";"Público";"Secundaria o Media";"Miércoles";2;0
"386";7;"Femenino";"Público";"Primaria";"Miércoles";1;0
"387";6;"Masculino";"Público";"Primaria";"Viernes";1;0
"388";5;"Masculino";"Privado";"Preescolar";"Sábado";2;30
"389";18;"Masculino";"Público";"Secundaria o Media";"Jueves";2;0
"390";11;"Femenino";"Público";"Secundaria o Media";"Lunes";2;0
"391";16;"Femenino";"Público";"Secundaria o Media";"Martes";1;0
"392";14;"Masculino";"Público";"Secundaria o Media";"Martes";2;0
"393";5;"Femenino";"Público";"Preescolar";"Martes";2;0
"394";19;"Femenino";"Público";"Universitario";"Viernes";4;0
"395";13;"Masculino";"Público";"Secundaria o Media";"Domingo";1;0
"396";18;"Masculino";"Privado";"Secundaria o Media";"Domingo";1;0
"397";13;"Masculino";"Público";"Primaria";"Domingo";0;30
"398";9;"Femenino";"Público";"Primaria";"Domingo";2;20
"399";44;"Femenino";"Público";"Universitario";"Domingo";1;0
"400";9;"Femenino";"Público";"Primaria";"Domingo";2;0
"401";16;"Masculino";"Público";"Secundaria o Media";"Domingo";1;30
"402";21;"Masculino";"Público";"Universitario";"Lunes";2;0
"403";32;"Masculino";"Privado";"Universitario";"Lunes";2;30
"404";17;"Femenino";"Público";"Tecnológico";"Lunes";6;30
"405";14;"Masculino";"Público";"Secundaria o Media";"Lunes";3;0
"406";13;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"407";9;"Femenino";"Público";"Primaria";"Lunes";0;30
"408";5;"Femenino";"Público";"Preescolar";"Miércoles";0;15
"409";10;"Masculino";"Público";"Primaria";"Miércoles";2;0
"410";5;"Femenino";"Público";"Preescolar";"Lunes";5;0
"411";9;"Masculino";"Privado";"Primaria";"Domingo";2;0
"412";13;"Femenino";"Público";"Secundaria o Media";"Miércoles";2;0
"413";7;"Masculino";"Público";"Preescolar";"Miércoles";3;30
"414";14;"Masculino";"Público";"Secundaria o Media";"Martes";2;0
"415";10;"Femenino";"Público";"Primaria";"Miércoles";1;30
"416";12;"Femenino";"Público";"Secundaria o Media";"Lunes";1;0
"417";14;"Femenino";"Público";"Secundaria o Media";"Martes";2;30
